Id, Name, Grade_math, Grade_cs
1,mi,156,79
2,lb,12.7,19
3,ne,-2.9,68.4
4,ee,102,44.9
5,kl,-6,58.4
6,jd,-140.2,-1.7
7,ia,-13.3,8.3
8,nh,-1.1,90.5
9,hl,-5.7,97.8
10,hf,21.4,216.5
11,jh,85.3,30.1
12,fb,-5.8,27.7
13,ag,186.9,79.8
14,ca,-56.5,30
15,cb,-0.5,49.2
16,hn,72.4,51.2
17,an,-22.5,96.1
18,gc,-31.3,-36.7
19,cd,79.4,265.9
20,ce,80.4,208.4
21,mi,-30.3,186.3
22,hg,189.3,40.2
23,ag,-65.3,183.1
24,lc,-70.2,15.8
25,ln,-24.5,-61.5
26,mn,-27.9,181.3
27,ib,136.7,98.7
28,ij,26.4,79.3
29,be,-18.7,95.9
30,ie,-55.4,41
31,el,25.3,77.5
32,hl,0.8,34.9
33,nd,-5,-124.5
34,le,58.4,176.9
35,ke,72,16.7
36,bl,150.4,-44.9
37,nm,40.4,33.1
38,de,-28.8,-58.9
39,le,-46,87.2
40,mn,1.5,28.5
41,jh,7.9,83.7
42,he,175.8,87.8
43,kf,4.9,21
44,bm,-2.5,-132.1
45,db,-1.5,21.2
46,cb,17.3,31.5
47,bk,-32.5,26.9
48,jb,180.6,3.2
49,cb,3.9,45.7
50,dk,57.1,13
51,he,-20.5,96.8
52,bg,40.5,61.4
53,mg,-64.8,38.7
54,lj,76.5,83.6
55,il,-106.6,34.4
56,ld,-53.6,-50.4
57,be,-1.6,4.6
58,mf,-56.6,-10.7
59,nn,178.4,147.5
60,cd,150.1,33.7
61,mn,-12.4,50.3
62,kl,-78.6,65.5
63,le,55.7,-103.1
64,nd,-28.1,29.2
65,ma,-5.2,63.3
66,lg,43.9,122.3
67,ec,-9.7,3.2
68,di,4.9,84
69,ck,-2.2,149.4
70,dg,-1.6,91.4
71,am,119.6,-58.9
72,am,17.9,20.1
73,ff,-12,6.5
74,bf,280.4,56.1
75,jf,111.8,92.5
76,bf,57,-30
77,gh,-35,26.4
78,hn,25.2,158.9
79,af,49.6,68
80,dm,159.4,151.2
81,em,-19.9,-40.3
82,lm,155.9,53.2
83,de,-21,132.3
84,dm,308.3,72.8
85,le,-61.9,76
86,hh,264.3,191.3
87,fi,38.3,62
88,bb,-46.2,172.6
89,gm,-199.2,101.4
90,fh,115.5,-122.2
91,dc,-67.4,64.4
92,di,-5.7,37.4
93,jc,28.1,6.2
94,lk,-9.3,20.5
95,nb,0.9,6.2
96,lg,2.1,-32.8
97,ib,286.2,82.1
98,fn,135.5,84.1
99,nl,-49.6,83.6
100,ge,115.4,-31.2
101,eh,21.6,67.9
102,gb,-15.3,-109.7
103,bn,39.9,74.2
104,ef,-9.9,15.6
105,ma,-7.8,83.6
106,ke,-1,27.2
107,aj,53.9,-11.1
108,ig,25.9,8.9
109,gk,-145.8,27.9
110,al,61,306.6
111,bk,137.8,82
112,jm,-130.9,51.3
113,bf,13.8,69.8
114,ec,-14.8,69.7
115,je,72,289.1
116,bh,-0.6,48.8
117,dh,-32,-59.4
118,kk,-50.1,81.5
119,eg,255.5,178.5
120,mg,38,85.8
121,id,-51.5,8.1
122,ai,25.6,-52.7
123,ac,-3.2,-3.5
124,lm,188.4,25.4
125,nh,-73.2,76.6
126,nd,-155.8,33.3
127,em,126.3,77.5
128,ki,199.3,216
129,dg,10.7,89.5
130,ec,2.8,8.9
131,ff,12.6,3.3
132,am,65.7,109.2
133,hd,-1.8,85.9
134,im,62,16.4
135,ij,85.8,196.8
136,ng,-53.3,23.6
137,fd,10.9,27.3
138,hh,238.8,222.9
139,aa,54.4,12.7
140,cn,-5.9,48.5
141,jf,-15.5,59.2
142,lb,9.1,-18
143,kl,-94.4,19.9
144,mi,126.9,184.4
145,kk,-96.9,-21.9
146,kb,3.9,-123.7
147,jl,-21.6,2.3
148,aj,133.9,47.9
149,ak,-22.3,126.7
150,ll,-154.7,41
151,id,270.1,222.1
152,nm,-15.5,35.7
153,hb,-148,240.3
154,mg,63.6,59.1
155,ke,64.1,-41.4
156,ib,111.6,43.5
157,il,136.7,112.8
158,il,32,-113
159,fi,115.4,-45.5
160,mn,-90,31.9
161,cm,0.3,80.2
162,he,0,-21.3
163,cn,74.5,146.1
164,ll,53.9,46.8
165,aj,-32.3,-184.8
166,fj,117.7,37.2
167,mk,1.6,3.7
168,dk,-21.9,70.1
169,ck,325.3,-95.1
170,fj,27.8,88.4
171,hf,-39.7,-7
172,hl,-0.5,88.4
173,fe,-83.3,-14.2
174,bc,-14.8,35.1
175,bn,5.5,75.2
176,hd,30.8,188.6
177,mc,36.7,42.4
178,ah,-3,1.1
179,ml,43.9,237.1
180,cj,104.5,3.1
181,kn,-152.9,25.1
182,gm,20.2,-8.6
183,em,59.9,-107.1
184,ai,-5,168.2
185,id,155.8,115.7
186,bm,-137.3,7.9
187,kl,4,58.8
188,ma,17.5,7.3
189,ka,-58.6,43.5
190,ge,180.8,4
191,nf,17,33.2
192,dm,42.6,52.1
193,nk,-5.3,7.7
194,kb,-68.3,-66.3
195,bj,18.4,-116.9
196,nc,-4.1,-89
197,eh,214.2,47.5
198,ei,22.4,29.7
199,gh,-3.5,69.8
200,hc,219,261.1
201,km,-105.4,6.3
202,gk,11.7,-226.1
203,dm,33.6,120.3
204,gm,184,47.8
205,fa,-51.2,18.8
206,gl,-27.3,109.8
207,dg,119,175.6
208,ic,57.5,-65.5
209,gb,146.6,63
210,ka,83.2,127.4
211,im,70.4,61.1
212,dk,9.8,117.6
213,me,216.1,-0.1
214,jh,68.9,20.3
215,jk,-5.1,59.1
216,ci,174.7,61.3
217,jh,-167.2,-88.4
218,ji,-0.8,92.6
219,gb,33.3,91.6
220,af,87.2,15.4
221,eh,-8.6,90.3
222,mi,65,157.6
223,cm,-16.9,79.9
224,di,4.1,24.3
225,fj,51.2,65.2
226,mc,182.5,140.6
227,ce,143.4,190.2
228,il,9.8,239.9
229,bj,125.5,291.2
230,bb,-80.3,44.9
231,kg,39.4,91.5
232,nl,-0.2,78.8
233,cn,190.5,217.5
234,nc,-34.1,86.3
235,ib,65.1,-174.3
236,lf,262.2,73.6
237,ik,248.4,217.2
238,im,-18.8,65
239,he,68.2,-18
240,ih,-35.2,72.4
241,nl,22,155.1
242,fe,17.7,56.7
243,fn,8.6,-115.6
244,if,-143.9,79.6
245,ll,76.3,6.3
246,hd,32.3,27.1
247,ke,150.7,193.3
248,he,-7.6,54.8
249,ed,8.7,61.2
250,hm,-60.6,140
251,jf,407.4,181.1
252,jk,-0.7,45.9
253,cg,32,20.5
254,le,-34.8,72.5
255,bd,2.6,43.9
256,mn,106.8,85.6
257,jg,215,214.2
258,af,136.9,-9.7
259,ci,-41.3,88.4
260,jj,-11.9,-220.9
261,jm,-50.1,39.8
262,ag,-7.5,52
263,ha,65.1,-135.9
264,ck,23.9,170.7
265,gl,49,282.1
266,lk,-85.9,121
267,bc,-49,32.4
268,kh,50.6,91.9
269,ej,-25.3,22.3
270,gh,22.8,19.9
271,fn,3.2,85.7
272,nj,111.2,-92
273,na,-26.5,86.2
274,fj,-66.9,79
275,im,54.7,5.4
276,ik,204.5,73.5
277,bj,9.2,93.5
278,hi,-13.9,231.8
279,ak,68.6,90.4
280,mk,-71,20.5
281,aa,84.4,187.6
282,li,43,79.7
283,fh,260.3,144.6
284,nd,0.5,92.8
285,ma,69.6,-53
286,gb,302.4,61.6
287,ik,2.6,17.3
288,me,-6,-123.8
289,ji,-13,69.8
290,dd,5.7,45.5
291,lg,-68.2,-265.9
292,jj,204.1,56.2
293,mg,14.1,61.4
294,kk,-232.3,21.8
295,nk,2.2,96.8
296,ic,5.8,25.5
297,lm,-57.3,26.2
298,hf,146.9,147.5
299,ga,-79.8,55.8
300,gd,-63.7,102.5
301,gl,-27,93.4
302,hk,149.8,166.7
303,nn,-60.3,76.8
304,jd,118.6,330.6
305,af,134.5,193.6
306,ib,15.7,189.6
307,kk,-28.3,50.1
308,kd,67,-88.9
309,aa,-6.4,156.1
310,ml,30.5,93.3
311,ei,-35.3,114.3
312,cm,2.3,0.7
313,cb,-87.6,92.2
314,hg,73.2,103.7
315,ll,-11,93.9
316,en,-0.1,12.1
317,am,17,87.8
318,kf,-27.4,178.1
319,fd,126.6,14.4
320,fa,57.9,67.3
321,im,16.8,159.5
322,gh,109.7,-69.1
323,ia,-5.9,310.2
324,dl,57,67.8
325,gm,319.8,149.8
326,dl,0.3,-60.9
327,ci,-112.5,24.7
328,bh,11.8,69
329,cd,74.3,165.8
330,lg,13.1,63.7
331,ke,85.6,105.2
332,ib,-21,-111.1
333,id,9.8,-133.9
334,bf,95.4,-8.3
335,ef,39.9,71.8
336,gm,0.8,-20.1
337,nk,-30.2,95.3
338,hb,-19.1,-22.1
339,ed,0,26.8
340,ng,3.5,-84.7
341,db,-22.5,52.3
342,lh,-80.3,12.5
343,lk,-0.8,80.5
344,gj,199.3,240
345,lj,-7.3,34.5
346,jh,45.9,-9
347,ci,-14.2,35.4
348,kl,34.4,73
349,en,179.5,145
350,cd,-5.1,-11.7
351,gk,1.1,15.5
352,jb,255.5,-50.9
353,jj,126.6,-7.6
354,bh,-15.1,47.2
355,gf,-12.7,-60.7
356,ia,-82,71
357,hl,22.9,-106.7
358,hn,29.4,43.1
359,kc,121.8,10.6
360,dj,224.1,97.8
361,fa,49.6,10.4
362,lk,-70.1,35.1
363,je,144.1,132.6
364,bm,-118.6,83.9
365,gg,-21.4,50.2
366,be,-40.3,-214.8
367,dn,69.8,203.6
368,fa,10.6,43.6
369,gc,285.4,100.8
370,me,98.4,114.1
371,mb,3.2,95.7
372,mj,92.8,13.6
373,dd,62.9,-80.3
374,mj,-133.5,44.8
375,lk,40.7,-40.9
376,ga,100.6,267.5
377,dn,0.2,43.3
378,jc,43.5,3.6
379,el,108.6,46.2
380,cj,-12.2,79.3
381,fe,19.1,29.7
382,dj,-52.3,21.7
383,ef,65.7,96.8
384,cb,-62.8,95.3
385,ed,21,-168.9
386,ac,7.4,-36.7
387,kb,45.8,167.5
388,lm,10.3,99.5
389,fg,-85.6,79.2
390,aa,167.8,245.6
391,af,97.9,-24.8
392,jh,-80.5,33
393,ie,34.5,-39.4
394,lh,17.7,86
395,ja,-4.9,46
396,gm,2.2,42.1
397,el,-8.8,7.9
398,fk,144.3,210.1
399,dg,0.5,40.3
400,fn,2.3,6.2
401,aj,-140.7,13.8
402,nl,7.6,-244.9
403,in,229.5,158.8
404,cn,-21.8,85.1
405,kk,-28.5,26.3
406,am,-15.8,65.3
407,nm,179.5,138.4
408,di,-66.2,94.9
409,ma,6.2,-94.6
410,me,4.3,10.4
411,mf,-59,26.8
412,bj,53,82.4
413,je,-18.9,63.2
414,hj,-54,-56.3
415,ec,63.3,76.2
416,bm,-1.7,154.1
417,da,-83,89.2
418,ja,56,-114.4
419,mj,-8.3,85.7
420,hk,25.5,73.8
421,gl,75.9,43.3
422,ck,56.4,26.7
423,mn,78.6,230.7
424,gf,140.2,73.8
425,fl,-1.2,89.8
426,ee,140.7,-8.5
427,ce,-5.9,70.2
428,ke,-16.6,75.3
429,hi,134.7,172.3
430,ch,76.6,95
431,gd,33.7,6.1
432,hm,-64.3,50.6
