Id, Name, Gender, Grade_math, Grade_cs
1,bh,M,81.99844,29.3
2,hn,F,7.3,2.0
3,mk,M,11.1,3.8
4,ie,F,56.8,21.3
5,kc,M,53.2,27.9
6,ij,M,49.9,31.5
7,na,F,13.5,9.6
8,dm,M,2.8,3.7
9,ee,M,59.3,30.7
10,mg,F,27.9,7.2
11,nd,M,10.1,15.4
12,ca,M,32.8,10.6
13,dh,F,0.7,0.3
14,ak,F,27.4,16.5
15,na,M,82.0,26.8
16,hn,M,21.0,22.1
17,im,F,1.1,0.0
18,gk,M,14.2,18.4
19,ac,F,33.8,6.8
20,hc,F,43.5,31.7
21,in,F,22.9,21.3
22,nj,F,15.3,2.2
23,ej,M,6.6,21.2
24,hi,F,2.5,2.1
25,cm,F,12.5,3.4
26,el,M,25.8,2.7
27,kg,M,32.9,23.07582
28,nl,M,66.0,82.9
29,gn,M,10.5,14.2
30,jj,F,0.9,0.4
31,ng,M,8.0,46.3
32,bd,F,21.8,4.9
33,gh,F,24.7,9.1
34,ic,F,0.5,0.5
35,kd,M,10.7,61.0169
36,ja,M,27.1,62.3
37,gg,F,13.0,1.3
38,gj,M,70.0,42.5
39,jm,M,69.6,49.6
40,mb,M,77.8,3.6
41,bh,F,8.2,0.5
42,fd,M,4.1,29.0
43,eb,M,18.2,60.8
44,ck,M,19.0,46.3
45,jd,F,0.7,0.3
46,hc,M,84.0,75.7
47,nl,M,0.6,28.3
48,id,M,17.3,4.171341
49,ff,F,13.6,7.2
50,gb,F,0.6,0.1
51,ld,M,18.3,33.73865
52,nh,F,5.5,0.5
53,dh,M,32.0,2.3
54,na,M,93.4,7.2993107
55,ie,F,2.5,1.4
56,db,M,11.6,2.4
57,mc,M,2.0,83.2
58,fn,F,4.5,3.2
59,ac,F,22.9,7.1
60,na,F,1.4,1.1
61,jl,M,35.2,4.7
62,ah,M,1.3,67.1
63,ef,M,52.5,80.8
64,ga,F,9.2,8.8
65,cm,M,18.9,14.7
66,dk,M,17.3,43.5
67,fb,F,3.3,0.9
68,id,F,31.0,13.5
69,lj,F,31.7,6.0
70,dl,M,58.882744,4.8144374
